Date	Average Tip Paid
01/01/2013	8.278716334
02/01/2013	9.079544003
03/01/2013	9.686678312
04/01/2013	9.938667312
05/01/2013	9.528530157
06/01/2013	9.866181669
07/01/2013	10.51869973
08/01/2013	10.87533712
09/01/2013	11.03044671
10/01/2013	11.17349163
11/01/2013	10.81011481
12/01/2013	10.04999183
13/01/2013	10.3903517
14/01/2013	10.99900316
15/01/2013	11.37241004
16/01/2013	11.55714138
17/01/2013	11.35343925
18/01/2013	10.82070146
19/01/2013	9.723531698
20/01/2013	9.996892764
21/01/2013	10.60755805
22/01/2013	11.29642724
23/01/2013	11.29058118
24/01/2013	11.07956859
25/01/2013	11.02263611
26/01/2013	10.31970697
27/01/2013	10.45862305
28/01/2013	11.18764832
29/01/2013	11.39340278
30/01/2013	11.51572071
31/01/2013	11.53918257
01/02/2013	11.06409591
02/02/2013	10.22312278
03/02/2013	10.68401992
04/02/2013	11.14766955
05/02/2013	11.44537559
06/02/2013	11.54058275
07/02/2013	11.47125746
08/02/2013	11.21541724
09/02/2013	10.60301327
10/02/2013	10.51243727
11/02/2013	11.15248093
12/02/2013	11.30508868
13/02/2013	11.4429804
14/02/2013	11.21743822
15/02/2013	10.63059489
16/02/2013	9.658769813
17/02/2013	9.799405538
18/02/2013	10.33694964
19/02/2013	10.99926654
20/02/2013	11.30664302
21/02/2013	11.37799613
22/02/2013	10.96806037
23/02/2013	10.26501637
24/02/2013	10.41098022
25/02/2013	11.11283749
26/02/2013	11.40792442
27/02/2013	11.61531096
28/02/2013	11.53498169
01/03/2013	10.96056946
02/03/2013	10.08483582
03/03/2013	10.27998997
04/03/2013	10.97105969
05/03/2013	11.27541746
06/03/2013	11.40466686
07/03/2013	11.46060226
08/03/2013	11.13091707
09/03/2013	9.816189667
10/03/2013	10.02707401
11/03/2013	10.87915917
12/03/2013	11.19879543
13/03/2013	11.30058989
14/03/2013	11.25313695
15/03/2013	10.82641014
16/03/2013	9.92610481
17/03/2013	10.10114946
18/03/2013	11.10434217
19/03/2013	11.4688988
20/03/2013	11.50895451
21/03/2013	10.3451728
22/03/2013	10.92690063
23/03/2013	9.992875074
24/03/2013	10.05318412
25/03/2013	10.53562881
26/03/2013	10.91037626
27/03/2013	10.98619275
28/03/2013	10.88666329
29/03/2013	10.26871486
30/03/2013	9.312551554
31/03/2013	9.495213451
01/04/2013	10.43179628
02/04/2013	10.9490946
03/04/2013	11.01089442
04/04/2013	11.12924397
