importer1,importer2,flow1
Astoria-Long Island City,Canarsie,115
Astoria-Long Island City,Chinatown,675
Astoria-Long Island City,Midtown,64659
Astoria-Long Island City,Queens Village,190
Astoria-Long Island City,Spuyten Duyvil,50
Auburndale,Mapleton-Flatlands,1
Battery Park,Astoria-Long Island City,2370
Battery Park,Douglastown-Little Neck,90
Battery Park,Inwood,264
Battery Park,Jackson Heights,744
Battery Park,Mott Haven,150
Battery Park,Woodlawn-Nordwood,16
Bay Ridge,Bay Ridge,2715
Bay Ridge,Canarsie,51
Bay Ridge,East Village,48
Bay Ridge,Fort Green,121
Bay Ridge,Lower East Side,56
Bay Ridge,Morris Heights,1
Bay Ridge,Williamsburg,150
Baychester,Upper West Side,3
Bedford Park,Bedford-Stuyvesant,2
Bedford Park,Fordham,112
Bedford Park,Riverdale,34
Bedford Park,Sunny Side,1
Bedford-Stuyvesant,Bedford-Stuyvesant,19915
Bedford-Stuyvesant,Fordham,15
Bedford-Stuyvesant,Mott Haven,25
Bensonhurst,Hamilton Heights,4
Boerum Hill,Queens Village,4
Boerum Hill,South Bronx,54
Borough Park,Gramercy,364
Borough Park,Greenwood,267
Borough Park,High Bridge,3
Borough Park,North Sutton Area,29
Borough Park,Soho,185
Borough Park,Sunset Park,360
Borough Park,Tribeca,157
Brownsville,Park Slope,14
Bushwick,Financial District,279
Bushwick,Gramercy,593
Bushwick,Middle Village,59
Bushwick,Midtown,501
Bushwick,Ridgewood,1538
Canarsie,Downtown,10
Canarsie,Fort Green,30
Canarsie,Middle Village,1
Canarsie,Sunny Side,7
Carnegie Hill,Bay Ridge,210
Carnegie Hill,Jamaica,142
Carnegie Hill,Upper East Side,661566
Carroll Gardens,Auburndale,15
Carroll Gardens,Battery Park,3529
Carroll Gardens,Bensonhurst,351
Carroll Gardens,Brownsville,160
Carroll Gardens,Country Club,3
Carroll Gardens,Financial District,10928
Carroll Gardens,Midtown,14405
Carroll Gardens,Parkchester,6
Central Park,Cobble Hill,394
Central Park,Queens Village,14
Central Park,Soho,15776
Chelsea,Astoria-Long Island City,54261
Chelsea,East Brooklyn,1256
Chelsea,East Village,425495
Chelsea,Harlem,63626
Chelsea,Lower East Side,226171
Chelsea,Queens Village,262
Chelsea,Woodhaven-Richmond Hill,1367
Chinatown,Carroll Gardens,2496
City Island,Gramercy,1
Clearview,Auburndale,11
Clearview,Middle Village,1
Clinton,Auburndale,327
Clinton,Glendale,492
Clinton,Saintalbans,207
Clinton,Throggs Neck,599
Cobble Hill,Bedford Park,2
Cobble Hill,Chelsea,4958
Cobble Hill,Harlem,114
Cobble Hill,Middle Village,44
Corona,East Village,70
Corona,Fort Green,93
Corona,Greenwich Village,114
Corona,Williamsburg,51
Corona,Yorkville,54
Country Club,Baychester,22
Country Club,Canarsie,1
Country Club,Harlem,10
Country Club,Kings Bridge,5
Country Club,Morningside Heights,2
Country Club,Murray Hill,2
Country Club,Yorkville,4
Douglastown-Little Neck,Battery Park,9
Douglastown-Little Neck,Bushwick,6
Douglastown-Little Neck,Carnegie Hill,2
Douglastown-Little Neck,Cobble Hill,1
Douglastown-Little Neck,Douglastown-Little Neck,1585
Downtown,Morris Heights,36
Downtown,Tremont,51
Downtown,University Heights,33
Downtown,Washington Heights,612
Dyker Heights,Sunset Park,39
East Brooklyn,Astoria-Long Island City,11
East Brooklyn,Garment District,39
East Brooklyn,Gramercy,41
East Brooklyn,Morningside Heights,3
East Brooklyn,University Heights,3
East Brooklyn,Washington Heights,6
East Brooklyn,Yorkville,9
East Harlem,Inwood,933
East Harlem,Murray Hill,5723
East Harlem,Yorkville,63580
East Village,Gravesend-Sheepshead Bay,2761
East Village,Murray Hill,230906
East Village,Tremont,629
Financial District,Bedford-Stuyvesant,12342
Financial District,Douglastown-Little Neck,365
Financial District,Park Slope,23850
Financial District,South Bronx,774
Financial District,Union Port,203
Flatbush,Garment District,3
Flatbush,Greenwood,4
Flushing,Auburndale,253
Flushing,Bedford Park,8
Flushing,Cobble Hill,8
Flushing,Harlem,73
Flushing,Midtown,1920
Flushing,Murray Hill,441
Flushing,Queens Village,19
Flushing,The Rockaways,4
Flushing,Williamsburg,109
Flushing,Woodside,198
Fordham,Jackson Heights,4
Fordham,South Bronx,78
Forest Hills,Fordham,7
Forest Hills,Upper West Side,765
Fort Green,Cobble Hill,4301
Fort Green,Laurelton,42
Fort Green,Little Italy,3360
Fort Green,Murray Hill,3889
Fort Green,Nkew Gardens,240
Fort Green,University Heights,29
Fort Green,Washington Heights,729
Fort Green,Woodhaven-Richmond Hill,220
Garment District,East Village,218699
Garment District,Riverdale,2622
Garment District,Sunny Side,34380
Garment District,Woodlawn-Nordwood,863
Garment District,Woodside,9441
Glendale,Auburndale,2
Glendale,Bushwick,61
Glendale,East Harlem,2
Glendale,Laurelton,2
Gramercy,Battery Park,107910
Gramercy,Chelsea,987015
Gramercy,Dyker Heights,1787
Gramercy,Laurelton,128
Gramercy,Middle Village,3589
Gramercy,Morningside Heights,25768
Gravesend-Sheepshead Bay,Baychester,1
Gravesend-Sheepshead Bay,Canarsie,162
Gravesend-Sheepshead Bay,Dyker Heights,31
Gravesend-Sheepshead Bay,Middle Village,1
Gravesend-Sheepshead Bay,Ridgewood,3
Gravesend-Sheepshead Bay,Springfield Gardens,4
Gravesend-Sheepshead Bay,Utopia,3
Gravesend-Sheepshead Bay,Williamsburg,24
Greenwich Village,Chinatown,39817
Greenwich Village,Glendale,720
Greenwood,Clinton,158
Greenwood,Flushing,7
