day	hour	value
1	0	553451
1	1	336580
1	2	219811
1	3	153611
1	4	157792
1	5	236434
1	6	579919
1	7	1010477
1	8	1219820
1	9	1199064
1	10	1060568
1	11	1050060
1	12	1100121
1	13	1082313
1	14	1154870
1	15	1139945
1	16	988471
1	17	1208254
1	18	1462179
1	19	1463971
1	20	1347448
1	21	1279425
1	22	1145394
1	23	858731
2	0	607315
2	1	375787
2	2	241682
2	3	164697
2	4	154523
2	5	233640
2	6	616165
2	7	1132547
2	8	1362108
2	9	1313468
2	10	1172765
2	11	1161808
2	12	1212685
2	13	1194911
2	14	1263296
2	15	1202506
2	16	984030
2	17	1239252
2	18	1567917
2	19	1630985
2	20	1562661
2	21	1533322
2	22	1403926
2	23	1093519
3	0	713533
3	1	423787
3	2	263974
3	3	175762
3	4	158476
3	5	225261
3	6	615642
3	7	1148813
3	8	1376228
3	9	1319972
3	10	1173306
3	11	1163233
3	12	1219131
3	13	1189179
3	14	1240841
3	15	1166634
3	16	942303
3	17	1195621
3	18	1528129
3	19	1631118
3	20	1558284
3	21	1550860
3	22	1465814
3	23	1205211
4	0	830153
4	1	505375
4	2	327010
4	3	211824
4	4	184261
4	5	238963
4	6	616566
4	7	1142080
4	8	1370474
4	9	1328313
4	10	1186970
4	11	1166410
4	12	1216902
4	13	1195309
4	14	1240275
4	15	1151937
4	16	919909
4	17	1173416
4	18	1512363
4	19	1638329
4	20	1608374
4	21	1603047
4	22	1554388
4	23	1405678
5	0	1104228
5	1	733605
5	2	492120
5	3	328440
5	4	253915
5	5	259047
5	6	597723
5	7	1076356
5	8	1318124
5	9	1288373
5	10	1181259
5	11	1178471
5	12	1209750
5	13	1179677
5	14	1248768
5	15	1136743
5	16	914464
5	17	1158306
5	18	1482407
5	19	1633159
5	20	1562022
5	21	1527292
5	22	1576087
5	23	1571132
6	0	1470122
6	1	1264843
6	2	1043784
6	3	776591
6	4	500660
6	5	248674
6	6	270926
6	7	389505
6	8	587897
6	9	833158
6	10	1008761
6	11	1145479
6	12	1231685
6	13	1259401
6	14	1225890
6	15	1214984
6	16	1050213
6	17	1215590
6	18	1447597
6	19	1536918
6	20	1425902
6	21	1420876
6	22	1534263
6	23	1601623
7	0	1509974
7	1	1371096
7	2	1125913
7	3	900077
7	4	576855
7	5	267435
7	6	242605
7	7	305688
7	8	448003
7	9	665420
7	10	919017
7	11	1080201
7	12	1181660
7	13	1189320
7	14	1183255
7	15	1119631
7	16	1012710
7	17	1108291
7	18	1216436
7	19	1152341
7	20	1048730
7	21	998365
7	22	926309
7	23	768376
