date,trips,MeanTemperatureF, MeanWindSpeedMPH, Events
2013-01-01,156915,33,7,Clear
2013-01-02,169327,28,6,Clear
2013-01-03,185845,28,5,Clear
2013-01-04,200302,34,8,Clear
2013-01-05,195849,37,7,Clear
2013-01-06,164697,40,7,Clear
2013-01-07,173585,41,5,Clear
2013-01-08,181917,42,7,Clear
2013-01-09,185417,44,4,Clear
2013-01-10,190343,44,7,Clear
2013-01-11,206576,42,5,Rain
2013-01-12,203473,45,4,Rain
2013-01-13,173900,47,3,Fog
2013-01-14,185949,47,3,Rain
2013-01-15,202108,37,7,Rain
2013-01-16,200951,35,5,Rain
2013-01-17,200071,39,6,Clear
2013-01-18,211717,30,7,Clear
2013-01-19,199955,41,10,Clear
2013-01-20,184495,42,11,Clear
2013-01-21,169047,29,5,Clear
2013-01-22,209127,20,11,Clear
2013-01-23,216609,16,8,Clear
2013-01-24,220256,17,8,Clear
2013-01-25,211119,19,7,Snow
2013-01-26,228194,21,7,Clear
2013-01-27,188333,27,6,Clear
2013-01-28,189766,33,5,Rain-Snow
2013-01-29,189965,43,4,Rain
2013-01-30,186172,49,5,Rain
2013-01-31,210342,46,12,Rain
2013-02-01,217205,28,9,Clear
2013-02-02,231244,24,7,Snow
2013-02-03,195312,27,4,Snow
2013-02-04,190779,27,7,Clear
2013-02-05,192041,30,5,Snow
2013-02-06,198441,34,5,Clear
2013-02-07,202032,29,6,Clear
2013-02-08,188225,31,14,Rain-Snow
2013-02-09,170756,27,9,Snow
2013-02-10,181737,27,3,Clear
2013-02-11,178275,40,4,Rain
2013-02-12,187824,40,9,Clear
2013-02-13,198013,39,3,Snow
2013-02-14,193844,40,4,Snow
2013-02-15,196585,46,6,Clear
2013-02-16,212625,36,7,Snow
2013-02-17,208913,25,12,Clear
2013-02-18,178801,26,8,Clear
2013-02-19,179417,41,7,Rain
2013-02-20,207117,32,12,Clear
2013-02-21,213603,29,10,Clear
2013-02-22,212432,32,7,Clear
2013-02-23,234855,39,9,Rain
2013-02-24,188006,41,7,Clear
2013-02-25,185263,39,5,Clear
2013-02-26,199045,40,8,Rain
2013-02-27,199357,42,11,Rain
2013-02-28,199091,45,5,Rain
2013-03-01,214733,41,5,Clear
2013-03-02,227231,36,8,Snow
2013-03-03,190297,35,8,Snow
2013-03-04,190716,35,10,Clear
2013-03-05,191466,40,7,Clear
2013-03-06,204002,40,16,Clear
2013-03-07,210455,36,10,Snow
2013-03-08,213905,37,8,Snow
2013-03-09,203531,45,6,Clear
2013-03-10,177211,43,5,Clear
2013-03-11,179801,47,7,Clear
2013-03-12,186578,50,8,Rain
2013-03-13,188356,45,6,Clear
2013-03-14,199437,35,12,Clear
2013-03-15,202907,39,8,Clear
2013-03-16,214283,37,4,Snow
