businessId,businessName,food,good,place,like,great,go,back,really,us,little,nice,also,always,well,lunch,best,try,love,delicious,eat,friendly,made,come,fresh,way,rice,make,bit,staff,ever,definitely,tasty,sure,since,thing,amazing,favorite,special,tried,taste,find,flavor,price,excellent,places,prices,everything,every,lot,new,looking,top,friend,recommend,awesome,quality,large,quite,husband,found,perfect,enjoy,ill,super,coming,disappointed,wonderful,clean,close,fantastic,high,fan,end,yummy,week,quick,real,reason,portion,soon,flavorful,st,regular,often,choice,ice,reasonable,size,offer,valley,w,highly,az,mall,add,ra,usual,generous,thin,de,c,com,businessRating
ShUDf64NVkwCe8izdUbYuw,Los Armandos Asadero Y Mariscos,3,1,3,0,2,1,0,0,3,0,1,0,0,0,0,0,0,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,15,0,2,1,0,1,0,0,0,4,20,2,High
mQfT3JYu18HN22DVylcE7A,Bertha's Cafﾒﾩ,79,119,135,89,101,294,45,38,371,60,32,36,37,41,92,40,66,53,60,187,17,39,31,57,85,23,40,26,13,103,26,31,17,21,87,17,25,20,23,34,23,23,23,11,16,13,26,47,18,23,11,21,42,13,21,15,12,14,5,14,27,20,122,8,10,6,11,6,13,8,9,15,84,20,12,11,59,16,12,3,4,775,9,6,8,133,10,9,11,3,1929,3,28,49,22,244,18,5,111,485,2659,110,High
MiVcQsXp3TYUmeD7FSa-hA,Sweet Cakes Cafﾒﾩ,18,53,44,26,25,109,9,21,90,14,13,15,7,14,25,21,21,25,13,51,13,11,12,4,20,13,15,16,7,26,10,2,12,7,28,6,3,11,6,6,6,0,13,3,3,2,3,11,5,1,1,15,25,7,8,1,1,0,4,1,3,5,41,2,2,3,3,3,3,0,7,3,47,7,7,4,25,5,1,2,0,178,0,3,2,50,0,7,4,1,656,3,10,17,5,64,2,1,36,128,977,28,High
CqhsIZ7TzCfJTrZqg5-gqQ,Armadillo Grill,114,105,121,72,91,226,56,42,239,27,27,35,38,35,15,33,31,52,21,130,39,12,19,10,66,37,18,15,18,80,19,14,19,12,46,10,16,66,12,12,10,11,35,3,13,16,6,28,20,13,11,20,66,9,16,6,10,5,5,2,13,11,172,10,15,3,4,4,9,4,8,16,122,10,24,6,52,11,7,0,2,468,12,3,8,136,4,7,9,7,1376,3,13,12,5,178,16,3,68,319,1707,60,High
ChmqODwuYP1ewjmWXtxtsg,Nee House Chinese Restaurant,176,84,78,51,33,194,39,33,278,21,12,16,21,24,28,26,24,36,21,97,6,6,24,17,40,60,18,21,22,71,10,8,11,12,54,7,21,22,7,14,16,11,18,11,13,7,9,32,15,16,13,17,24,10,1,8,8,4,2,13,10,12,50,5,2,7,2,19,7,6,7,11,57,4,7,8,46,8,6,5,5,509,11,1,4,148,6,2,6,7,1284,2,11,14,7,196,16,3,67,278,1663,59,High
nBqXILuCGVZ4-aPuRKjCCg,Jalisience Mexican Food,0,0,2,1,3,2,0,0,6,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,13,0,0,0,0,0,0,0,0,2,25,0,High
6w_k3NCXF_p8UTWDxpOF5w,Boston Market,8,5,2,3,1,11,3,1,15,1,0,1,0,0,2,0,2,1,2,9,1,3,0,3,0,0,1,1,0,5,0,0,1,0,5,0,2,1,0,1,0,1,0,0,0,0,3,3,0,0,2,1,1,0,0,1,0,1,0,1,0,0,2,0,0,0,1,1,0,0,1,2,2,1,2,2,1,2,0,1,1,42,0,0,0,4,0,0,0,1,76,1,1,0,1,6,1,0,5,15,92,2,High
_DZfwU9dE9Q5I1-1jiM1vQ,Little Chicago Pizza,1,7,12,4,8,22,2,3,15,7,1,4,2,7,5,3,5,0,0,13,2,1,0,1,3,4,1,0,2,4,1,0,0,0,3,1,0,4,0,2,0,0,4,1,3,1,1,2,1,3,1,4,3,1,0,0,1,2,1,0,0,0,7,0,1,0,0,0,2,0,0,0,4,0,1,3,3,2,0,2,0,42,0,2,0,14,1,2,0,0,110,0,1,0,2,10,1,0,9,28,150,3,High
EeQlS9VLlfWT25-MeYsJTg,Rubio's Fresh Mexican Grill,13,5,5,3,8,9,0,5,18,2,3,0,6,3,1,1,3,6,3,15,1,0,1,5,9,4,2,3,2,3,0,2,0,1,4,1,2,2,2,2,1,0,4,2,0,2,0,3,2,0,0,0,2,2,0,1,4,2,0,0,0,3,10,1,0,1,0,2,3,0,1,1,6,2,0,0,5,0,1,0,0,60,2,0,2,10,0,3,1,0,84,0,3,1,0,13,1,0,5,19,141,6,High
yC3ydbHAJTZ22FZp4LynFg,Jeepney Bistro,51,23,33,21,6,65,9,11,64,6,1,6,1,3,9,6,12,3,6,23,5,9,11,6,9,22,6,7,3,20,6,1,6,6,18,1,2,5,3,14,2,8,7,1,8,2,3,8,8,2,3,4,9,2,1,0,1,1,1,4,1,1,20,0,2,3,1,1,5,0,1,1,22,0,5,4,11,2,3,0,1,158,1,0,5,42,1,1,6,1,357,1,4,4,5,39,4,1,23,91,427,32,High
IWwt0vm8lYbVoyGSPd2Z9A,Rudy's Country Store & Bar-B-Q,114,228,203,204,126,495,126,95,651,56,37,87,33,49,35,59,116,106,43,463,26,24,61,11,117,38,50,53,17,185,36,22,30,33,152,25,40,12,40,77,27,80,37,24,22,19,45,82,44,58,8,41,66,22,35,16,19,15,16,24,21,30,149,18,11,16,7,15,19,11,18,48,152,25,19,11,139,14,7,11,14,1315,19,7,30,208,3,4,17,12,3317,7,72,25,26,261,14,2,192,692,3663,156,High
oxsCvEkQNNIbOPDt_QK_0A,Jewel of the Crown,90,42,38,41,35,86,25,17,120,14,17,15,10,16,17,19,8,18,8,73,3,4,16,7,23,28,10,10,5,29,9,5,5,4,27,2,8,10,3,13,8,13,10,12,6,4,4,10,7,4,8,4,12,7,1,4,2,2,9,1,5,14,38,2,4,3,5,1,5,0,5,3,27,0,1,3,19,6,3,0,5,214,1,2,4,107,0,2,1,11,647,3,10,4,2,89,5,1,37,126,817,35,High
pSiR8m18iick2D7TFdmb-Q,Wong's Place,90,47,94,37,28,131,22,25,119,18,14,11,28,15,13,34,19,27,5,61,9,4,15,3,36,46,14,15,11,59,10,10,2,8,45,5,12,22,11,17,12,16,14,3,6,10,7,24,7,4,10,5,29,11,8,4,6,3,2,1,8,4,30,4,7,4,1,4,7,4,5,14,52,1,10,5,29,6,11,0,2,308,3,3,2,93,5,6,2,16,812,3,11,7,7,110,4,0,68,153,996,53,High
Cr2JNnewX53TYd9w6qw6Jw,The Habit Burger Grill,49,68,40,28,14,117,19,18,105,13,17,11,10,12,10,7,24,22,9,45,14,9,14,17,22,25,8,60,12,33,6,6,13,12,34,3,2,5,11,14,3,7,25,4,4,10,7,15,7,6,0,11,19,5,5,10,3,1,3,2,11,3,49,5,1,1,2,12,3,1,8,10,36,6,1,6,21,4,3,2,0,234,6,3,2,65,2,5,12,3,668,1,6,5,9,90,2,0,51,130,798,34,High
