"name","type","city","state",stars,review_count
"Eric Goldberg MD","business","Phoenix","AZ",3.5,7
"Pine Cone Restaurant","business","De Forest","WI",4.0,26
"Deforest Family Restaurant","business","De Forest","WI",4.0,16
"Culver's","business","De Forest","WI",4.5,7
"Chang Jiang Chinese Kitchen","business","De Forest","WI",4.0,3
"Charter Communications","business","Mc Farland","WI",1.5,10
"Air Quality Systems","business","Mc Farland","WI",2.0,4
"McFarland Public Library","business","Mc Farland","WI",2.5,4
"Green Lantern Restaurant","business","Mc Farland","WI",3.5,33
"Spartan Animal Hospital","business","Mc Farland","WI",4.5,3
"Beach House Restaurant & Lounge","business","Mc Farland","WI",3.5,31
"Parsonage Bed & Breakfast the","business","Mc Farland","WI",5.0,9
"Spartan Bowl","business","Mc Farland","WI",1.5,3
"Spartan Pizza","business","Mc Farland","WI",3.5,4
"Main Moon Chinese Restaurant","business","Mc Farland","WI",3.5,8
"Crandalls Carryout & Catering","business","Middleton","WI",4.0,5
"Imperial Garden Chinese Restaurant","business","Middleton","WI",3.0,41
"Mi Cocina","business","Middleton","WI",3.0,17
"Zimbrick Acura","business","Middleton","WI",2.5,5
"Keva Sports Center","business","Middleton","WI",3.5,3
"Wild Birds Unlimited","business","Middleton","WI",4.5,3
"Staybridge Suites Extended Stay Hotel Middleton/Madison-West","business","Middleton","WI",4.5,6
"Harbor Athletic Club","business","Middleton","WI",5.0,5
"Domino's Pizza","business","Middleton","WI",3.0,3
"Archivers","business","Middleton","WI",3.0,4
"Michaels","business","Middleton","WI",4.0,3
"Greenway Station Shopping Center","business","Middleton","WI",3.5,7
"Barriques Wine & Spirits","business","Middleton","WI",4.0,22
"China Wok Buffet","business","Middleton","WI",2.5,12
"Prairie Cafe & Bakery","business","Middleton","WI",3.5,38
"Paul's Neighborhood Bar","business","Middleton","WI",3.5,11
"Chin's Asia Fresh","business","Middleton","WI",3.0,28
"Grand China Restaurant","business","Middleton","WI",3.0,6
"Lori's Pet-Agree Salon Llc","business","Middleton","WI",5.0,3
"Dennys","business","Middleton","WI",3.0,5
"Starbucks","business","Middleton","WI",3.0,6
"Cold Stone Creamery","business","Middleton","WI",2.5,6
"Bristled Boar Saloon & Grill","business","Middleton","WI",3.5,16
"Killian Dental Clinic","business","Middleton","WI",5.0,3
"McDonald's","business","Middleton","WI",4.0,6
"All Pets Veterinary Clinic","business","Middleton","WI",5.0,5
"Fairfield Inn & Suites Madison West","business","Middleton","WI",3.5,8
"Hody Bar & Grill","business","Middleton","WI",2.5,10
"Louisianne's Etc","business","Middleton","WI",4.0,56
"Marriott-Madison West","business","Middleton","WI",2.5,35
"Bowling Green Rec Center","business","Middleton","WI",3.5,3
"Clasen's European Bakery","business","Middleton","WI",3.5,14
"Hilton Garden Inn Madison West/Middleton","business","Middleton","WI",4.0,12
"Ace Hardware","business","Middleton","WI",5.0,3
"Papa John's Pizza","business","Middleton","WI",1.5,3
"Three Sisters Old Town Inn","business","Middleton","WI",4.0,19
"Dick & Arnie's Barber Shop","business","Middleton","WI",4.5,11
"Revolution Hair Company Inc","business","Middleton","WI",5.0,3
"Middleton Sport Bowl","business","Middleton","WI",4.0,10
"Middleton Public Pibrary","business","Middleton","WI",3.5,3
"Stamm House At Pheasant Branch","business","Middleton","WI",2.0,7
"Bennett's Auto Repair LLC","business","Middleton","WI",5.0,3
"Dunn's Import Inc","business","Middleton","WI",5.0,3
"Walgreens","business","Middleton","WI",4.5,3
"Hardee's","business","Middleton","WI",4.0,5
"Full Compass Systems","business","Madison","WI",3.5,5
"DSW","business","Middleton","WI",3.5,3
"The Village Green Bar & Grill","business","Middleton","WI",4.0,34
"Walgreens","business","Middleton","WI",3.0,5
"Banana Republic","business","Madison","WI",3.0,6
"Nitty Gritty Restaurant & Bar","business","Middleton","WI",3.0,16
"Brandon Eyes","business","Middleton","WI",4.5,7
"Culver's","business","Middleton","WI",4.5,12
"Magic Wash Inc","business","Middleton","WI",4.5,3
"Tangles","business","Middleton","WI",2.0,7
"Vin Santo","business","Middleton","WI",4.0,53
"Soup Factory","business","Middleton","WI",3.0,3
"Club Tavern & Grille","business","Middleton","WI",2.5,16
"Jiffy Lube","business","Middleton","WI",4.0,4
"C's Restaurant Bakery and Coffee Shop","business","Middleton","WI",4.0,15
"LOFT","business","Middleton","WI",2.0,4
"Arbor Lakes At Middleton","business","Middleton","WI",1.5,3
"The Bruce Company","business","Middleton","WI",2.5,9
"Patches and Pieces","business","Middleton","WI",4.0,3
"Capital Brewery & Beer Garden","business","Middleton","WI",4.0,36
"Scott's Pastry Shoppe","business","Middleton","WI",4.0,12
"Zimbrick Volkswagen","business","Middleton","WI",3.5,10
"Burger King","business","Sun Prairie","WI",1.5,14
"Pizza Pit","business","Sun Prairie","WI",2.5,4
"The UPS Store","business","Sun Prairie","WI",3.5,3
"Sun Prairie Public Library","business","Sun Prairie","WI",5.0,5
"Panda Garden","business","Sun Prairie","WI",4.0,8
"Chang Jiang","business","Sun Prairie","WI",3.0,9
"Deli Roma","business","Sun Prairie","WI",4.0,20
"Family Video","business","Sun Prairie","WI",3.0,3
